station_no,station_name,function,state_raw,state,latitude,longitude,coord_status,lat_parse_method,lon_parse_method
1334108,"Ldg. Getah Kukup, Pontian",RF,Johor,Johor,1.348611,103.458333,ok,parsed_excel_date,parsed_dms
1433105,"Hospital Umum, Pontian",RF,Johor,Johor,1.498611,103.388889,ok,parsed_excel_date,parsed_dms
1437116,Stor JPS Johor Bahru,RF,Johor,Johor,1.470833,103.752778,ok,parsed_excel_date,parsed_dms
1438001,Sedc Pasir Gudang,RF,Johor,Johor,1.444444,103.898611,ok,parsed_excel_date,parsed_dms
1438118,"Ldg. Sg. Buloh, Johor Bahru",RF,Johor,Johor,1.458333,103.893056,ok,parsed_excel_date,parsed_dms
1439118,"Ldg. Sg. Buloh, Johor Bahru",RF,Johor,Johor,1.476389,103.9,ok,parsed_excel_date,parsed_dms
1442001,"Desaru, Penggarang",RF,Johor,Johor,1.484722,104.269444,ok,parsed_excel_date,parsed_dms
1534001,Komplek Perumahan Pontian,RF,Johor,Johor,1.501389,103.419444,ok,parsed_excel_date,parsed_dms
1534002,Pusat Kemajuan Per. Pekan Nanas,RF,Johor,Johor,1.515278,103.494444,ok,parsed_excel_date,parsed_dms
1534103,Stn.Penyelidikan Nenas Pontian,RF,Johor,Johor,1.590278,103.465278,ok,parsed_dms,parsed_dms
1534104,Ibu Bekalan JKR Pontian Besar,RF,Johor,Johor,1.597222,103.415278,ok,parsed_dms,parsed_dms
1535106,Ldg. Gunung Pulai di Johor Bahru,RF,Johor,Johor,1.563889,103.579167,ok,parsed_dms,parsed_dms
1535107,"Balai Bomba, Pekan Nenas",RF,Johor,Johor,1.506944,103.516667,ok,parsed_excel_date,parsed_dms
1536110,Ldg. Senai di Senai,RF,Johor,Johor,1.584722,103.654167,ok,parsed_dms,parsed_dms
1536111,"Ldg. Buan Heng, Skudai",RF,Johor,Johor,1.536111,103.625,ok,parsed_dms,parsed_dms
1537113,Ldg. Tebrau di Johor Bahru,RF,Johor,Johor,1.55,103.743056,ok,parsed_dms,parsed_dms
1537114,"Ldg. Mount Austin, Johor Bahru",RF,Johor,Johor,1.55,103.776389,ok,parsed_dms,parsed_dms
1537115,Kolam Air Johor Bahru,RF,Johor,Johor,1.501389,103.731944,ok,parsed_excel_date,parsed_dms
1538001,Sg. Plentong,RF,Johor,Johor,1.534722,103.844444,ok,parsed_dms,parsed_dms
1538117,"Ldg. Sg. Plentong, Johor Bahru",RF,Johor,Johor,1.534722,103.844444,ok,parsed_dms,parsed_dms
1539001,Loji Air Sg.Layang,RF,Johor,Johor,1.556944,103.925,ok,parsed_dms,parsed_dms
1539001,Kg. Oren,RF,Johor,Johor,1.5875,103.918056,ok,parsed_dms,parsed_dms
1539134,Ldg. Sg. Tiram di Johor Bahru,RF,Johor,Johor,1.5875,103.918056,ok,parsed_dms,parsed_dms
1539136,"Ldg. Lim Lim Bhd., Masai",RF,Johor,Johor,1.520833,103.991667,ok,parsed_excel_date,parsed_dms
1540135,Ldg. Telok Sengat di Kota Tinggi,RF,Johor,Johor,1.568056,104.038889,ok,parsed_dms,parsed_dms
1541001,Kangar Chemara,RF,Johor,Johor,1.576389,104.198611,ok,parsed_dms,parsed_dms
1541137,Ldg. Sg. Papan di Kota Tinggi,RF,Johor,Johor,1.5,104.105556,ok,parsed_excel_date,parsed_dms
1541138,"Ldg. Kg. Bahru, Sg. Papan",RF,Johor,Johor,1.547222,104.156944,ok,parsed_dms,parsed_dms
1541139,Johor Silica,RF,Johor,Johor,1.526389,104.184722,ok,parsed_excel_date,parsed_dms
1631001,Pintu Pasang Surut Kg.Sg.Rengit,RF,Johor,Johor,1.666667,103.148611,ok,parsed_dms,parsed_dms
1631084,Pintu Pasang Surut Rengit,RF,Johor,Johor,1.680556,103.148611,ok,parsed_dms,parsed_dms
1632001,"Benut, Johor Barat",RF,Johor,Johor,1.65,103.263889,ok,parsed_dms,parsed_dms
1632095,"Parit Batang Duku, Batu Pahat",RF,Johor,Johor,1.672222,103.25,ok,parsed_dms,parsed_dms
1632096,Pintu Kawalan Tampok di Batu Pahat,RF,Johor,Johor,1.626389,103.202778,ok,parsed_dms,parsed_dms
1635102,Ldg. Kulai Young di Kulai,RF,Johor,Johor,1.629167,103.531944,ok,parsed_dms,parsed_dms
1636001,Balai Polis Kg.Seelong,RF,Johor,Johor,1.630556,103.697222,ok,parsed_dms,parsed_dms
1636002,Kg. Separa,RF,Johor,Johor,1.651944,103.628611,ok,parsed_dms,parsed_dms
1636109,Ldg. Kelan di Kulai,RF,Johor,Johor,1.681944,103.629167,ok,parsed_dms,parsed_dms
1637001,Felda Ulu Tiram/Ulu Tebrau,RF,Johor,Johor,1.629167,103.779167,ok,parsed_dms,parsed_dms
1637133,Ldg. Ulu Tiram,RF,Johor,Johor,1.629167,103.779167,ok,parsed_dms,parsed_dms
1639132,Ldg. Nam Heng di Kota Tinggi,RF,Johor,Johor,1.654167,103.926389,ok,parsed_dms,parsed_dms
1640141,Felda Air Tawar 1,RF,Johor,Johor,1.620833,104.044444,ok,parsed_dms,parsed_dms
1730081,"Stn. Pam Koris, Batu Pahat",RF,Johor,Johor,1.761111,103.0,ok,parsed_dms,parsed_dms
1730082,Pintu Pasang Surut Senggarang,RF,Johor,Johor,1.745833,103.056944,ok,parsed_dms,parsed_dms
1730085,Ldg. Bkt. Batu Senggarang,RF,Johor,Johor,1.788889,103.016667,ok,parsed_dms,parsed_dms
1731001,Pintu Kawalan  Parit Saidi Barat,RF,Johor,Johor,1.7375,103.108333,ok,parsed_dms,parsed_dms
1731083,"Parit Perpat, Batu Pahat",RF,Johor,Johor,1.722222,103.127778,ok,parsed_dms,parsed_dms
1731094,Sek. Keb. Merlong Darat,RF,Johor,Johor,1.731944,103.1875,ok,parsed_dms,parsed_dms
1732001,"Parit Madirono, Site 1",RF,Johor,Johor,1.713889,103.279167,ok,parsed_dms,parsed_dms
1732002,"Parit Madirono, Site 2",RF,Johor,Johor,1.711111,103.288889,ok,parsed_dms,parsed_dms
1732003,"Parit Madirono, Site 3",RF,Johor,Johor,1.706944,103.281944,ok,parsed_dms,parsed_dms
1732004,"Parit Madirono, Site 4",RF,Johor,Johor,1.708333,103.273611,ok,parsed_dms,parsed_dms
1734001,Loji Pembersih Bkt. Batu,RF,Johor,Johor,1.727778,103.443056,ok,parsed_dms,parsed_dms
1735125,Ldg. Sedenak di Sedenak,RF,Johor,Johor,1.713889,103.527778,ok,parsed_dms,parsed_dms
1735142,Felda Kg. Teck Wah Heng,RF,Johor,Johor,1.769444,103.519444,ok,parsed_dms,parsed_dms
1736126,"Ldg. Sayong, Kulai",RF,Johor,Johor,1.7625,103.6,ok,parsed_dms,parsed_dms
1737001,Sek. Men. Bkt. Besar di Kota Tinggi,RF,Johor,Johor,1.763889,103.719444,ok,parsed_dms,parsed_dms
1737127,Bkt. Besar Felda di Kota Tinggi,RF,Johor,Johor,1.770833,103.704167,ok,parsed_dms,parsed_dms
1737128,S.R.J.K. Kg. Rantau Panjang,RF,Johor,Johor,1.781944,103.744444,ok,parsed_dms,parsed_dms
1738129,"Rumah Tapis Air, Kota Tinggi",RF,Johor,Johor,1.751389,103.893056,ok,parsed_dms,parsed_dms
