state,year,population_thousand,population
Johor,1970,1325.6,1325600
Johor,1971,1355.4,1355400
Johor,1972,1385.3,1385300
Johor,1973,1414.5,1414500
Johor,1974,1444.4,1444400
Johor,1975,1477.0,1477000
Johor,1976,1508.4,1508400
Johor,1977,1541.9,1541900
Johor,1978,1573.4,1573400
Johor,1979,1606.4,1606400
Johor,1980,1646.2,1646200
Johor,1981,1689.3,1689300
Johor,1982,1734.6,1734600
Johor,1983,1780.2,1780200
Johor,1984,1825.8,1825800
Johor,1985,1875.5,1875500
Johor,1986,1926.5,1926500
Johor,1987,1977.9,1977900
Johor,1988,2031.0,2031000
Johor,1989,2085.5,2085500
Johor,1990,2139.6,2139600
Johor,1991,2188.1,2188100
Johor,1992,2249.1,2249100
Johor,1993,2313.4,2313400
Johor,1994,2378.1,2378100
Johor,1995,2441.4,2441400
Johor,1996,2503.9,2503900
Johor,1997,2567.5,2567500
Johor,1998,2631.7,2631700
Johor,1999,2699.4,2699400
Johor,2000,2762.5,2762500
Johor,2001,2829.9,2829900
Johor,2002,2893.6,2893600
Johor,2003,2954.0,2954000
Johor,2004,3014.6,3014600
Johor,2005,3074.4,3074400
Johor,2006,3134.4,3134400
Johor,2007,3193.5,3193500
Johor,2008,3252.3,3252300
Johor,2009,3309.4,3309400
Johor,2010,3362.9,3362900
Johor,2011,3410.5,3410500
Johor,2012,3450.4,3450400
Johor,2013,3474.4,3474400
Johor,2014,3559.8,3559800
Johor,2015,3610.3,3610300
Johor,2016,3651.8,3651800
Johor,2017,3697.0,3697000
Johor,2018,3749.4,3749400
Johor,2019,3761.2,3761200
Johor,2020,4009.7,4009700
Johor,2021,4020.0,4020000
Johor,2022,4028.3,4028300
Johor,2023,4107.2,4107200
Johor,2024,4184.4,4184400
Johor,2025,4205.9,4205900
Kedah,1970,989.5,989500
Kedah,1971,1003.9,1003900
Kedah,1972,1017.3,1017300
Kedah,1973,1029.0,1029000
Kedah,1974,1041.1,1041100
Kedah,1975,1054.9,1054900
Kedah,1976,1065.4,1065400
Kedah,1977,1079.8,1079800
Kedah,1978,1090.9,1090900
Kedah,1979,1103.4,1103400
Kedah,1980,1119.9,1119900
Kedah,1981,1140.2,1140200
Kedah,1982,1161.8,1161800
Kedah,1983,1183.9,1183900
Kedah,1984,1206.1,1206100
Kedah,1985,1230.8,1230800
Kedah,1986,1256.2,1256200
Kedah,1987,1281.1,1281100
Kedah,1988,1305.4,1305400
Kedah,1989,1328.8,1328800
Kedah,1990,1352.2,1352200
Kedah,1991,1371.3,1371300
Kedah,1992,1402.1,1402100
Kedah,1993,1434.1,1434100
Kedah,1994,1466.6,1466600
Kedah,1995,1500.2,1500200
Kedah,1996,1533.2,1533200
Kedah,1997,1566.9,1566900
Kedah,1998,1601.2,1601200
Kedah,1999,1636.5,1636500
Kedah,2000,1671.9,1671900
Kedah,2001,1703.9,1703900
Kedah,2002,1734.8,1734800
Kedah,2003,1763.7,1763700
Kedah,2004,1792.4,1792400
Kedah,2005,1820.3,1820300
Kedah,2006,1847.5,1847500
Kedah,2007,1874.2,1874200
Kedah,2008,1900.2,1900200
Kedah,2009,1925.3,1925300
Kedah,2010,1949.3,1949300
Kedah,2011,1971.8,1971800
Kedah,2012,2001.1,2001100
Kedah,2013,2039.8,2039800
Kedah,2014,2062.7,2062700
Kedah,2015,2096.5,2096500
Kedah,2016,2119.7,2119700
Kedah,2017,2143.9,2143900
Kedah,2018,2163.0,2163000
Kedah,2019,2173.7,2173700
Kedah,2020,2131.4,2131400
Kedah,2021,2151.7,2151700
Kedah,2022,2163.1,2163100
Kedah,2023,2189.3,2189300
Kedah,2024,2217.1,2217100
Kedah,2025,2228.0,2228000
Kelantan,1970,707.3,707300
Kelantan,1971,723.6,723600
Kelantan,1972,741.1,741100
Kelantan,1973,759.5,759500
Kelantan,1974,776.8,776800
Kelantan,1975,796.1,796100
Kelantan,1976,814.1,814100
Kelantan,1977,834.2,834200
Kelantan,1978,852.5,852500
Kelantan,1979,873.7,873700
Kelantan,1980,895.7,895700
Kelantan,1981,920.5,920500
Kelantan,1982,947.1,947100
Kelantan,1983,974.6,974600
Kelantan,1984,1002.6,1002600
Kelantan,1985,1032.9,1032900
Kelantan,1986,1062.8,1062800
Kelantan,1987,1093.2,1093200
Kelantan,1988,1124.0,1124000
Kelantan,1989,1154.5,1154500
Kelantan,1990,1187.2,1187200
Kelantan,1991,1227.0,1227000
Kelantan,1992,1243.5,1243500
Kelantan,1993,1259.1,1259100
Kelantan,1994,1273.7,1273700
Kelantan,1995,1287.7,1287700
Kelantan,1996,1301.1,1301100
Kelantan,1997,1314.4,1314400
Kelantan,1998,1328.9,1328900
Kelantan,1999,1344.7,1344700
Kelantan,2000,1361.4,1361400
Kelantan,2001,1390.0,1390000
Kelantan,2002,1416.7,1416700
Kelantan,2003,1440.5,1440500
Kelantan,2004,1463.8,1463800
Kelantan,2005,1486.3,1486300
Kelantan,2006,1507.6,1507600
Kelantan,2007,1529.1,1529100
Kelantan,2008,1549.8,1549800
Kelantan,2009,1570.0,1570000
Kelantan,2010,1589.9,1589900
Kelantan,2011,1618.8,1618800
Kelantan,2012,1651.0,1651000
Kelantan,2013,1683.5,1683500
Kelantan,2014,1723.4,1723400
Kelantan,2015,1760.6,1760600
Kelantan,2016,1796.7,1796700
Kelantan,2017,1829.0,1829000
Kelantan,2018,1860.5,1860500
Kelantan,2019,1883.8,1883800
Kelantan,2020,1792.5,1792500
Kelantan,2021,1812.3,1812300
Kelantan,2022,1830.6,1830600
Kelantan,2023,1859.8,1859800
Kelantan,2024,1887.9,1887900
Kelantan,2025,1907.7,1907700
Melaka,1970,419.4,419400
Melaka,1971,424.9,424900
Melaka,1972,429.9,429900
Melaka,1973,434.2,434200
Melaka,1974,438.1,438100
Melaka,1975,443.1,443100
Melaka,1976,447.3,447300
Melaka,1977,452.1,452100
Melaka,1978,456.2,456200
Melaka,1979,460.8,460800
Melaka,1980,466.9,466900
Melaka,1981,472.6,472600
Melaka,1982,478.7,478700
Melaka,1983,484.8,484800
Melaka,1984,491.2,491200
Melaka,1985,498.6,498600
Melaka,1986,505.6,505600
Melaka,1987,513.1,513100
Melaka,1988,520.5,520500
Melaka,1989,527.4,527400
Melaka,1990,534.2,534200
Melaka,1991,540.2,540200
Melaka,1992,551.8,551800
Melaka,1993,563.3,563300
Melaka,1994,574.9,574900
Melaka,1995,586.1,586100
Melaka,1996,597.3,597300
Melaka,1997,608.8,608800
Melaka,1998,620.5,620500
Melaka,1999,633.1,633100
Melaka,2000,646.6,646600
Melaka,2001,665.8,665800
Melaka,2002,684.1,684100
Melaka,2003,701.8,701800
Melaka,2004,719.8,719800
Melaka,2005,737.3,737300
Melaka,2006,755.0,755000
Melaka,2007,772.8,772800
Melaka,2008,790.5,790500
Melaka,2009,807.8,807800
Melaka,2010,823.6,823600
Melaka,2011,833.2,833200
Melaka,2012,843.2,843200
Melaka,2013,856.7,856700
Melaka,2014,871.7,871700
Melaka,2015,889.0,889000
